"Code";"Result"
"1";"269 (21.3%)"
"1.1";"256 (20.3%)"
"1.2";"16 (1.3%)"
"2";"44 (3.5%)"
"2.1";"31 (2.5%)"
"2.2";"4 (0.3%)"
"2.3";"10 (0.8%)"
"3";"339 (26.8%)"
"3.1";"38 (3%)"
"3.2";"79 (6.3%)"
"3.3";"194 (15.4%)"
"3.4";"47 (3.7%)"
"4";"257 (20.3%)"
"4.1";"135 (10.7%)"
"4.2";"12 (1%)"
"4.3";"67 (5.3%)"
"4.4";"113 (8.9%)"
"5";"106 (8.4%)"
"5.1";"8 (0.6%)"
"5.2";"70 (5.5%)"
"5.3";"17 (1.3%)"
"5.4";"11 (0.9%)"
"6";"96 (7.6%)"
"6.1";"26 (2.1%)"
"6.2";"12 (1%)"
"6.3";"15 (1.2%)"
"6.4";"26 (2.1%)"
"6.5";"18 (1.4%)"
"7";"238 (18.8%)"
"7.1";"223 (17.7%)"
"7.2";"16 (1.3%)"
"8";"100 (7.9%)"
"8.1";"60 (4.8%)"
"8.2";"33 (2.6%)"
"8.3";"7 (0.6%)"
